,palavra,contagem
428,gestão,8
429,padrão,8
430,escolar,8
431,atrair,8
432,moral,8
433,30,8
434,corte,7
435,durante,7
436,11,7
437,financiamento,7
438,total,7
439,fundamental,7
440,ódio,7
441,desemprego,7
442,12,7
443,dessa,7
444,for,7
445,religião,7
446,confronto,7
447,vossa,7
448,dez,7
449,comida,7
450,geração,7
451,dívida,7
452,bolsa,7
453,parceria,7
454,25,7
455,maioria,7
456,possível,7
457,assumir,7
458,pouco,7
459,respeitado,7
460,2022,7
461,falou,7
462,deixar,7
463,segunda,7
464,final,7
465,somos,7
466,conseguir,7
467,riqueza,7
468,80,7
469,feito,7
470,muitas,7
471,realmente,7
472,empregos,7
473,ministros,7
474,número,7
475,outra,7
476,exatamente,7
477,últimos,7
478,indicar,7
479,pobreza,7
480,escândalo,7
481,60,7
482,votou,7
483,ajudar,7
484,próxima,7
485,criança,7
486,problema,7
487,média,7
488,sorteio,7
489,propostas,7
490,5,7
491,real,6
492,papel,6
493,deixou,6
494,sustentável,6
495,fica,6
496,pessoal,6
497,peço,6
498,professora,6
499,diferente,6
500,regras,6
501,aula,6
502,única,6
503,médio,6
504,lamentavelmente,6
505,pedir,6
506,covid,6
507,capacidade,6
508,dizendo,6
509,ministério,6
510,filhos,6
511,acesso,6
512,supremo,6
513,compra,6
514,direto,6
515,tribunal,6
516,indo,6
517,às,6
518,começar,6
519,petrobras,6
520,jeito,6
521,pelas,6
522,tão,6
523,fiz,6
524,entender,6
525,fato,6
526,simples,6
527,vergonha,6
528,financiar,6
529,usar,6
530,mensalão,6
531,us,6
532,investir,6
533,impostos,6
534,sequer,6
535,alguém,6
536,pior,6
537,quase,6
538,orgulho,6
539,terra,6
540,fundo,6
541,homem,6
542,garantir,6
543,paulo,6
544,máquina,6
545,gasto,6
546,feminista,6
547,agride,6
548,consegue,6
549,sigilo,6
550,fazem,6
551,próprio,6
552,novo,6
553,grave,6
554,pouquinho,6
555,solução,6
556,luiz,6
557,tipo,6
558,transformar,6
559,réplica,6
560,silva,6
561,vim,6
562,aconteceu,5
563,contradição,5
564,dias,5
565,portal,5
566,partir,5
567,aproveitar,5
568,cinco,5
569,200,5
570,terá,5
571,mandato,5
572,combate,5
573,tivemos,5
574,cara,5
575,atraso,5
576,comer,5
577,polícia,5
578,jornal,5
579,estatais,5
580,avaliação,5
581,passando,5
582,saí,5
583,sério,5
584,diz,5
585,senhores,5
586,linha,5
587,melhores,5
588,deve,5
589,10,5
590,digital,5
591,agronegócio,5
592,apoio,5
593,recursos,5
594,tanto,5
595,precisam,5
596,valer,5
597,significa,5
598,ouvindo,5
599,vivo,5
600,participar,5
601,tantas,5
602,quantas,5
603,passou,5
604,abaixo,5
605,dilma,5
606,assunto,5
607,14,5
608,infelizmente,5
609,pib,5
610,fundão,5
611,digitais,5
612,governança,5
613,ir,5
614,adora,5
615,cirurgias,5
616,plano,5
617,causa,5
618,ali,5
619,certeza,5
620,turno,5
621,imediatamente,5
622,ouvir,5
623,acima,5
624,pagar,5
625,podem,5
626,infraestrutura,5
627,400,5
628,difícil,5
629,privilégio,5
630,190,5
631,mês,5
632,importantes,5
633,realidade,5
634,tira,5
635,costas,5
636,social,5
637,começou,5
638,contrato,5
639,nossos,5
640,combater,5
641,prazer,5
642,iniciativa,5
643,antes,5
644,valorização,5
645,carbono,5
646,esta,5
647,manter,5
648,davila,5
649,deputados,5
650,aumentar,5
651,votar,5
652,aluno,5
653,abrir,5
654,rico,5
655,jovens,5
656,candidatura,5
657,respondem,5
658,eleita,5
659,depende,5
660,razão,5
661,constituição,5
662,judiciário,5
663,suprema,5
664,comentar,5
665,vacinas,5
666,esquece,5
667,conseguimos,5
668,federais,5
669,respeita,5
670,saneamento,5
671,professores,5
672,contas,5
673,serão,5
674,sabemos,5
675,cidadão,5
676,havia,5
677,brasileiras,5
678,cresce,5
679,área,5
680,comprar,5
681,liberação,5
682,acompanhar,5
683,vive,5
684,parlamento,4
685,criou,4
686,questões,4
687,profissionalizante,4
688,posso,4
689,criar,4
690,toda,4
691,fizeram,4
692,chegou,4
693,certa,4
694,básico,4
695,daqui,4
696,ouvi,4
697,mônica,4
698,marcos,4
699,cintra,4
700,thaís,4
701,conseguiu,4
702,corrupto,4
703,governar,4
704,lugares,4
705,competir,4
706,mara,4
707,escolas,4
708,ruas,4
709,início,4
710,reduzir,4
711,porém,4
712,liderança,4
713,preso,4
714,absolvido,4
715,briga,4
716,criação,4
717,cobertura,4
718,daí,4
719,aumento,4
720,18,4
721,desses,4
722,metade,4
723,inocente,4
724,respondida,4
725,trabalhar,4
726,olho,4
727,espera,4
728,juliana,4
729,diminuído,4
730,estupro,4
731,amazônia,4
732,feminina,4
733,governos,4
734,inverdades,4
735,trabalhador,4
736,dúvida,4
737,atacar,4
738,desde,4
739,chile,4
740,gera,4
741,unidos,4
